Nome do produto,Preço do produto,Nível de estrelas,Número total de avaliações,Número total de comentários
Colchão Queen Molas Ensacadas com Pillow Top Extra Conforto 158x198x38cm - Premium Sleep - BF Colchões,"R$ 1.840,10",4.5,39,27
"Apple iPhone 13 128GB Estelar Tela 6,1” 12MP","R$ 3.848,99",4.8,12007,4220
